Dates,Total Entries,Total Exits
2021-02-19,1630393,1453345
2021-02-20,1220298,1102762
2021-02-21,950835,870114
2021-02-22,1698201,1467116
2021-02-23,1810617,1644020
2021-02-24,1874164,1773492
2021-02-25,1820295,1758588
2021-02-26,1770333,1770164
2021-02-27,1093706,1173432
2021-02-28,880503,942661
2021-03-01,1636700,1660266
2021-03-02,1630971,1692658
2021-03-03,1710779,1785300
2021-03-04,1677913,1750191
2021-03-05,1671031,1761098
2021-03-06,1072446,1241830
2021-03-07,848082,998477
2021-03-08,1601227,1667408
2021-03-09,1691169,1762403
2021-03-10,1699447,1777133
2021-03-11,1729228,1817977
2021-03-12,1735085,1843281
2021-03-13,1138950,1323081
2021-03-14,879098,1041769
2021-03-15,1602867,1663067
2021-03-16,1656813,1715339
2021-03-17,1705535,1774846
2021-03-18,1623181,1683601
2021-03-19,1724344,1810618
2021-03-20,1163426,1347022
2021-03-21,920639,1085201
2021-03-22,1652953,1717483
2021-03-23,1718447,1779429
2021-03-24,1673274,1721703
2021-03-25,1778227,1803175
2021-03-26,1735565,1831246
2021-03-27,1213711,1393413
2021-03-28,755598,883022
2021-03-29,1588244,1663154
2021-03-30,1705866,1783040
2021-03-31,1642137,1705907
2021-04-01,1660731,1737410
2021-04-02,1589907,1675831
2021-04-03,1159089,1315698
2021-04-04,861417,1002133
2021-04-05,1694210,1709751
2021-04-06,1791314,1809152
2021-04-07,1871046,1840253
2021-04-08,1937182,1860478
2021-04-09,1954052,1880034
2021-04-10,1338048,1367420
2021-04-11,890121,938847
2021-04-12,1684039,1705230
2021-04-13,1822276,1849119
2021-04-14,1868851,1888804
2021-04-15,1714722,1751372
2021-04-16,1886424,1966717
2021-04-17,1225580,1470670
2021-04-18,952777,1178973
2021-04-19,1717275,1847464
2021-04-20,1849851,2004418
2021-04-21,1754635,1921234
2021-04-22,1840466,1966877
2021-04-23,1922332,2046976
2021-04-24,1296263,1569640
2021-04-25,879548,1094152
2021-04-26,1759789,1877798
2021-04-27,1833465,1955860
2021-04-28,1903454,2049541
2021-04-29,1821024,1942336
2021-04-30,1973573,2067617
2021-05-01,1304731,1556791
2021-05-02,1017712,1239274
2021-05-03,1787483,1894029
2021-05-04,1904872,2018679
2021-05-05,1856710,1971478
2021-05-06,1967513,2085562
2021-05-07,2002540,2130239
2021-05-08,1261304,1492038
2021-05-09,1002971,1196927
2021-05-10,1815183,1922637
2021-05-11,1947016,2056553
2021-05-12,2004822,2092054
2021-05-13,1946410,2082015
2021-05-14,2050809,2181494
2021-05-15,1435565,1675595
2021-05-16,1101470,1299313
2021-05-17,1868488,1961517
2021-05-18,1973873,2075654
2021-05-19,2010258,2164395
2021-05-20,1981710,2169695
2021-05-21,2025601,2222828
2021-05-22,1370077,1692434
2021-05-23,1064270,1370586
2021-05-24,1866936,2057281
2021-05-25,1979966,2180279
2021-05-26,1977486,2182995
2021-05-27,2040871,2291349
2021-05-28,1953927,2147620
2021-05-29,1174245,1441297
2021-05-30,932239,1207375
2021-05-31,1220259,1463856
2021-06-01,1988098,2180319
2021-06-02,2050395,2244974
2021-06-03,1953150,2151348
2021-06-04,2025397,2217043
2021-06-05,1501722,1833015
2021-06-06,1162790,1462901
2021-06-07,1956453,2164731
2021-06-08,1986226,2196348
2021-06-09,2115635,2321419
2021-06-10,2146444,2378570
2021-06-11,2150548,2384697
2021-06-12,1546123,1735502
2021-06-13,1193488,1392152
2021-06-14,2004582,2099755
2021-06-15,2160536,2292825
2021-06-16,2201718,2338403
2021-06-17,2259101,2385535
2021-06-18,2225941,2398097
2021-06-19,1509849,1758720
2021-06-20,1212890,1416450
2021-06-21,2013450,2153616
2021-06-22,2041697,2211972
2021-06-23,2227731,2382612
2021-06-24,2227410,2389736
2021-06-25,2298974,2431155
2021-06-26,1566358,1831487
2021-06-27,1321316,1613854
2021-06-28,2001853,2167254
2021-06-29,2069132,2242784
2021-06-30,2072624,2244189
2021-07-01,2026557,2198434
2021-07-02,2045325,2209448
2021-07-03,1367891,1569956
2021-07-04,1307354,1532478
2021-07-05,1366601,1559406
2021-07-06,1956560,2231848
2021-07-07,2057335,2347491
2021-07-08,2021194,2264861
2021-07-09,1976059,2244371
2021-07-10,1440825,1800253
2021-07-11,1124128,1445785
2021-07-12,1877489,2184611
2021-07-13,1980655,2369951
2021-07-14,2022957,2426260
2021-07-15,2063088,2481097
2021-07-16,2024967,2450597
2021-07-17,1274861,1772649
2021-07-18,1047965,1504897
2021-07-19,1883391,2274765
2021-07-20,1965460,2374865
2021-07-21,1996892,2401634
2021-07-22,2058796,2481281
2021-07-23,2032806,2465384
2021-07-24,1378225,1892035
2021-07-25,1019323,1479992
2021-07-26,1871230,2279146
2021-07-27,1990119,2415465
2021-07-28,2023021,2461119
2021-07-29,1933450,2370009
2021-07-30,2035317,2496901
2021-07-31,1368608,1911214
2021-08-01,1007169,1492484
2021-08-02,1880369,2304637
2021-08-03,1987354,2428190
2021-08-04,2015352,2472342
2021-08-05,2015851,2474605
2021-08-06,2010146,2476408
2021-08-07,1321604,1923502
2021-08-08,995800,1494047
2021-08-09,1907358,2309828
2021-08-10,1943714,2420342
2021-08-11,1965899,2459931
2021-08-12,1988698,2463007
2021-08-13,1921990,2433946
2021-08-14,1273417,1842525
2021-08-15,1064693,1595199
2021-08-16,1831872,2306732
2021-08-17,1983399,2398237
2021-08-18,1945626,2337834
2021-08-19,1925888,2331467
2021-08-20,1934455,2343936
2021-08-21,1279265,1746469
2021-08-22,579493,896738
2021-08-23,1631282,2008711
2021-08-24,1943400,2372753
2021-08-25,1967702,2390377
2021-08-26,1945659,2375976
2021-08-27,1875469,2290800
2021-08-28,1224574,1700699
2021-08-29,1032094,1473299
2021-08-30,1831880,2239054
2021-08-31,1983062,2418891
2021-09-01,1795668,2222104
2021-09-02,1312365,1708665
2021-09-03,1852971,2268869
2021-09-04,1300668,1796860
2021-09-05,1025543,1482160
2021-09-06,1135811,1584301
2021-09-07,1883175,2337305
2021-09-08,1977431,2439709
2021-09-09,2080851,2561280
2021-09-10,2244236,2747546
2021-09-11,1437669,2014672
2021-09-12,1141126,1645998
2021-09-13,2259632,2695987
2021-09-14,2411736,2852299
2021-09-15,2364196,2784327
2021-09-16,1980227,2426439
2021-09-17,2391721,2814103
2021-09-18,1453695,2024484
2021-09-19,1151724,1627518
2021-09-20,2307811,2683822
2021-09-21,2401640,2803648
2021-09-22,2466597,2831286
2021-09-23,2447757,2856146
2021-09-24,2519743,2979520
2021-09-25,1569386,2187700
2021-09-26,1217763,1708844
2021-09-27,2363100,2743614
2021-09-28,2425716,2785020
2021-09-29,2494493,2859883
2021-09-30,2545430,2962081
2021-10-01,2554933,2991446
2021-10-02,1534836,2129433
2021-10-03,1200658,1670600
2021-10-04,2350591,2747184
2021-10-05,2523522,2929136
2021-10-06,2556828,2924458
2021-10-07,2582186,3003698
2021-10-08,2562779,3011242
2021-10-09,1528383,2133691
2021-10-10,1133457,1676339
2021-10-11,1822314,2283437
2021-10-12,2523333,2944796
2021-10-13,2557234,2979674
2021-10-14,2611135,3059074
2021-10-15,2597205,3069148
2021-10-16,1505373,2121008
2021-10-17,1228075,1769847
2021-10-18,2431837,2809580
2021-10-19,2565653,3000909
2021-10-20,2603631,3054446
2021-10-21,2620015,3086312
2021-10-22,2590477,3068300
2021-10-23,1544942,2146509
2021-10-24,1191364,1740335
2021-10-25,2432675,2887930
2021-10-26,2166896,2607831
2021-10-27,2631365,3133518
2021-10-28,2663469,3224093
2021-10-29,2563423,3054490
2021-10-30,1469200,2038353
2021-10-31,1261640,1821695
2021-11-01,2438864,2820866
2021-11-02,2238155,2649383
2021-11-03,2622673,3006844
2021-11-04,2598624,3053906
2021-11-05,2604997,3007313
2021-11-06,1583830,2151797
2021-11-07,1322322,1838422
2021-11-08,2508600,2820778
2021-11-09,2656094,3000141
2021-11-10,2695181,3062084
2021-11-11,2293879,2725061
2021-11-12,2499314,2918263
2021-11-13,1598077,2137419
2021-11-14,1294319,1739319
2021-11-15,2507189,2925034
2021-11-16,2654589,3086824
2021-11-17,2671703,3107896
2021-11-18,2697002,3152660
2021-11-19,2610525,3114001
2021-11-20,1592722,2212109
2021-11-21,1276454,1789461
2021-11-22,2508706,2934432
2021-11-23,2604783,3089426
2021-11-24,2446042,2913091
2021-11-25,1097431,1481893
