Dates,Total Entries,Total Exits
2016-10-27,5909341,4291273
2016-10-28,5943051,4344684
2016-10-29,3301715,2616658
2016-10-30,2501813,2027534
2016-10-31,5680971,4175288
2016-11-01,5889324,4311059
2016-11-02,5940614,4329439
2016-11-03,5958568,4358778
2016-11-04,5985958,4383554
2016-11-05,3426274,2678975
2016-11-06,2882499,2268050
2016-11-07,5767148,4191270
2016-11-08,5308789,3950040
2016-11-09,5824865,4259084
2016-11-10,6021064,4376156
2016-11-11,5144156,3873446
2016-11-12,3388374,2666523
2016-11-13,2617982,2114309
2016-11-14,5684650,4139971
2016-11-15,5667047,4144303
2016-11-16,5965902,4365279
2016-11-17,6024380,4385611
2016-11-18,5914682,4326103
2016-11-19,3393994,2680037
2016-11-20,2486630,2012260
2016-11-21,5678767,4127700
2016-11-22,5868565,4249053
2016-11-23,5509099,4000268
2016-11-24,2166414,1741205
2016-11-25,3440711,2685950
2016-11-26,2872308,2280889
2016-11-27,2369938,1903511
2016-11-28,5567454,4054580
2016-11-29,5596779,4087607
2016-11-30,5783950,4213847
2016-12-01,5985104,4357054
2016-12-02,5917017,4322746
2016-12-03,3538891,2770707
2016-12-04,2705223,2160041
2016-12-05,5733279,4154078
2016-12-06,5927695,4294032
2016-12-07,5949871,4324367
2016-12-08,6032648,4372695
2016-12-09,5943690,4334942
2016-12-10,3558181,2775975
2016-12-11,2677835,2134582
2016-12-12,5636953,4082532
2016-12-13,5844696,4255161
2016-12-14,5962323,4333934
2016-12-15,5813312,4221264
2016-12-16,5707177,4168022
2016-12-17,3189902,2503058
2016-12-18,2714420,2155358
2016-12-19,5604044,4077018
2016-12-20,5724930,4173085
2016-12-21,5624073,4117547
2016-12-22,5439798,3991697
2016-12-23,4923186,3640527
2016-12-24,2468198,1965729
2016-12-25,1793515,1467954
2016-12-26,2712066,2113925
2016-12-27,4498208,3442487
2016-12-28,4795788,3649746
2016-12-29,4477356,3408140
2016-12-30,4731302,3599779
2016-12-31,2972980,2378704
2017-01-01,2401228,1983159
